pkt,sample_idx,rssi,ant_array,channel,i,q
0,0,-72,1,15,259,-174
0,1,-72,1,15,187,-245
0,2,-72,1,15,79,-296
0,3,-72,1,15,-30,-310
0,4,-72,1,15,-156,-278
0,5,-72,1,15,-251,-208
0,6,-72,1,15,-313,-95
0,7,-72,1,15,-322,17
0,8,-72,1,15,-280,134
0,9,-72,1,15,-208,217
0,10,-72,1,15,-117,273
0,11,-72,1,15,-4,300
0,12,-72,1,15,96,287
0,13,-72,1,15,196,230
0,14,-72,1,15,264,147
0,15,-72,1,15,308,31
0,16,-72,1,15,308,-79
0,17,-72,1,15,263,-193
0,18,-72,1,15,183,-268
0,19,-72,1,15,60,-309
0,20,-72,1,15,-60,-304
0,21,-72,1,15,-172,-260
0,22,-72,1,15,-263,-173
0,23,-72,1,15,-305,-75
0,24,-72,1,15,-301,45
0,25,-72,1,15,-259,148
0,26,-72,1,15,-177,244
0,27,-72,1,15,-83,298
0,28,-72,1,15,36,309
0,29,-72,1,15,140,273
0,30,-72,1,15,237,190
0,31,-72,1,15,294,92
0,32,-72,1,15,314,-13
0,33,-72,1,15,291,-126
0,34,-72,1,15,229,-212
0,35,-72,1,15,129,-282
0,36,-72,1,15,25,-311
0,37,-72,1,15,-99,-304
0,38,-72,1,15,-211,-265
0,39,-72,1,15,-309,-178
0,40,-72,1,15,-319,-60
0,41,-72,1,15,-179,106
0,42,-72,1,15,75,239
0,43,-72,1,15,379,298
0,44,-72,1,15,658,219
0,45,-72,1,15,768,23
0,46,-72,1,15,723,-277
0,47,-72,1,15,565,-530
0,48,-72,1,15,302,-717
0,49,-72,1,15,21,-748
0,50,-72,1,15,-305,-630
0,51,-72,1,15,-548,-411
0,52,-72,1,15,-707,-102
0,53,-72,1,15,-704,178
0,54,-72,1,15,-545,442
0,55,-72,1,15,-328,609
0,56,-72,1,15,-119,686
0,57,-72,1,15,5,650
0,58,-72,1,15,-4,540
0,59,-72,1,15,-94,393
0,60,-72,1,15,-150,302
0,61,-72,1,15,-107,277
0,62,-72,1,15,17,297
0,63,-72,1,15,180,295
0,64,-72,1,15,262,206
0,65,-72,1,15,221,-8
0,66,-72,1,15,52,-251
0,67,-72,1,15,-196,-448
0,68,-72,1,15,-484,-519
0,69,-72,1,15,-674,-404
0,70,-72,1,15,-778,-134
0,71,-72,1,15,-760,161
0,72,-72,1,15,-617,454
0,73,-72,1,15,-396,636
0,74,-72,1,15,-62,701
0,75,-72,1,15,250,634
0,76,-72,1,15,532,430
0,77,-72,1,15,669,178
0,78,-72,1,15,680,-97
0,79,-72,1,15,574,-376
0,80,-72,1,15,438,-537
0,81,-72,1,15,314,-570
0,82,-72,1,15,265,-474
0,83,-72,1,15,265,-304
0,84,-72,1,15,266,-194
0,85,-72,1,15,223,-183
0,86,-72,1,15,131,-263
0,87,-72,1,15,-6,-352
0,88,-72,1,15,-123,-324
0,89,-72,1,15,-192,-142
0,90,-72,1,15,-168,198
0,91,-72,1,15,-52,499
0,92,-72,1,15,165,683
0,93,-72,1,15,387,663
0,94,-72,1,15,608,454
0,95,-72,1,15,734,182
0,96,-72,1,15,749,-143
0,97,-72,1,15,633,-400
0,98,-72,1,15,371,-611
0,99,-72,1,15,70,-695
0,100,-72,1,15,-229,-669
0,101,-72,1,15,-497,-517
0,102,-72,1,15,-636,-291
0,103,-72,1,15,-684,5
0,104,-72,1,15,-649,224
0,105,-72,1,15,-561,331
0,106,-72,1,15,-471,267
0,107,-72,1,15,-386,112
0,108,-72,1,15,-330,15
0,109,-72,1,15,-283,41
0,110,-72,1,15,-238,160
0,111,-72,1,15,-168,293
0,112,-72,1,15,-44,330
0,113,-72,1,15,93,202
0,114,-72,1,15,226,-104
0,115,-72,1,15,264,-422
0,116,-72,1,15,170,-692
0,117,-72,1,15,-29,-778
0,118,-72,1,15,-321,-702
0,119,-72,1,15,-561,-519
0,120,-72,1,15,-738,-242
0,121,-72,1,15,-759,40
0,122,-72,1,15,-646,320
0,123,-72,1,15,-394,579
0,124,-72,1,15,-105,704
0,125,-72,1,15,211,683
0,126,-72,1,15,445,540
0,127,-72,1,15,617,290
0,128,-72,1,15,679,79
0,129,-72,1,15,640,-44
0,130,-72,1,15,536,-33
0,131,-72,1,15,397,58
0,132,-72,1,15,310,111
0,133,-72,1,15,282,80
0,134,-72,1,15,296,-50
0,135,-72,1,15,288,-187
0,136,-72,1,15,189,-275
0,137,-72,1,15,-2,-230
0,138,-72,1,15,-268,-37
0,139,-72,1,15,-447,223
0,140,-72,1,15,-484,519
