pkt,sample_idx,rssi,ant_array,channel,i,q
0,0,-65,1,24,598,375
0,1,-65,1,24,689,151
0,2,-65,1,24,691,-124
0,3,-65,1,24,607,-357
0,4,-65,1,24,424,-567
0,5,-65,1,24,204,-680
0,6,-65,1,24,-73,-707
0,7,-65,1,24,-313,-636
0,8,-65,1,24,-537,-463
0,9,-65,1,24,-663,-243
0,10,-65,1,24,-705,42
0,11,-65,1,24,-644,295
0,12,-65,1,24,-484,536
0,13,-65,1,24,-272,675
0,14,-65,1,24,9,722
0,15,-65,1,24,258,672
0,16,-65,1,24,496,522
0,17,-65,1,24,642,330
0,18,-65,1,24,710,73
0,19,-65,1,24,686,-165
0,20,-65,1,24,571,-413
0,21,-65,1,24,400,-585
0,22,-65,1,24,146,-696
0,23,-65,1,24,-107,-700
0,24,-65,1,24,-380,-601
0,25,-65,1,24,-570,-430
0,26,-65,1,24,-697,-177
0,27,-65,1,24,-713,73
0,28,-65,1,24,-635,344
0,29,-65,1,24,-457,557
0,30,-65,1,24,-245,678
0,31,-65,1,24,30,713
0,32,-65,1,24,273,654
0,33,-65,1,24,506,492
0,34,-65,1,24,648,285
0,35,-65,1,24,709,11
0,36,-65,1,24,674,-235
0,37,-65,1,24,542,-478
0,38,-65,1,24,349,-641
0,39,-65,1,24,67,-745
0,40,-65,1,24,-203,-736
0,41,-65,1,24,-441,-577
0,42,-65,1,24,-499,-287
0,43,-65,1,24,-360,131
0,44,-65,1,24,-81,465
0,45,-65,1,24,270,637
0,46,-65,1,24,526,587
0,47,-65,1,24,702,341
0,48,-65,1,24,757,49
0,49,-65,1,24,689,-275
0,50,-65,1,24,510,-507
0,51,-65,1,24,189,-667
0,52,-65,1,24,-142,-698
0,53,-65,1,24,-476,-603
0,54,-65,1,24,-672,-411
0,55,-65,1,24,-756,-111
0,56,-65,1,24,-722,202
0,57,-65,1,24,-658,387
0,58,-65,1,24,-621,421
0,59,-65,1,24,-648,302
0,60,-65,1,24,-702,159
0,61,-65,1,24,-710,143
0,62,-65,1,24,-611,308
0,63,-65,1,24,-427,535
0,64,-65,1,24,-142,727
0,65,-65,1,24,116,721
0,66,-65,1,24,327,463
0,67,-65,1,24,384,75
0,68,-65,1,24,281,-382
0,69,-65,1,24,74,-654
0,70,-65,1,24,-213,-732
0,71,-65,1,24,-454,-616
0,72,-65,1,24,-657,-370
0,73,-65,1,24,-738,-102
0,74,-65,1,24,-694,217
0,75,-65,1,24,-518,487
0,76,-65,1,24,-207,704
0,77,-65,1,24,101,776
0,78,-65,1,24,407,673
0,79,-65,1,24,605,450
0,80,-65,1,24,723,140
0,81,-65,1,24,753,-67
0,82,-65,1,24,735,-117
0,83,-65,1,24,709,-7
0,84,-65,1,24,696,160
0,85,-65,1,24,701,197
0,86,-65,1,24,698,40
0,87,-65,1,24,642,-281
0,88,-65,1,24,506,-562
0,89,-65,1,24,254,-712
0,90,-65,1,24,-30,-596
0,91,-65,1,24,-306,-221
0,92,-65,1,24,-433,193
0,93,-65,1,24,-380,576
0,94,-65,1,24,-190,757
0,95,-65,1,24,115,766
0,96,-65,1,24,382,649
0,97,-65,1,24,608,418
0,98,-65,1,24,704,148
0,99,-65,1,24,676,-198
0,100,-65,1,24,534,-489
0,101,-65,1,24,275,-723
0,102,-65,1,24,-3,-786
0,103,-65,1,24,-317,-686
0,104,-65,1,24,-547,-489
0,105,-65,1,24,-700,-277
0,106,-65,1,24,-712,-214
0,107,-65,1,24,-630,-313
0,108,-65,1,24,-553,-450
0,109,-65,1,24,-543,-500
0,110,-65,1,24,-610,-383
0,111,-65,1,24,-708,-91
0,112,-65,1,24,-723,204
0,113,-65,1,24,-573,446
0,114,-65,1,24,-240,493
0,115,-65,1,24,133,349
0,116,-65,1,24,491,45
0,117,-65,1,24,637,-261
0,118,-65,1,24,575,-547
0,119,-65,1,24,354,-706
0,120,-65,1,24,29,-773
0,121,-65,1,24,-257,-717
0,122,-65,1,24,-516,-509
0,123,-65,1,24,-666,-223
0,124,-65,1,24,-708,155
0,125,-65,1,24,-630,458
0,126,-65,1,24,-411,681
0,127,-65,1,24,-140,752
0,128,-65,1,24,175,712
0,129,-65,1,24,370,640
0,130,-65,1,24,423,595
0,131,-65,1,24,340,620
0,132,-65,1,24,216,684
0,133,-65,1,24,201,703
0,134,-65,1,24,342,616
0,135,-65,1,24,556,423
0,136,-65,1,24,748,120
0,137,-65,1,24,741,-155
0,138,-65,1,24,469,-357
0,139,-65,1,24,72,-395
0,140,-65,1,24,-388,-258
0,141,-65,1,24,-661,-32
0,142,-65,1,24,-720,264
0,143,-65,1,24,-557,528
0,144,-65,1,24,-308,690
0,145,-65,1,24,11,751
0,146,-65,1,24,286,672
0,147,-65,1,24,549,440
0,148,-65,1,24,704,145
0,149,-65,1,24,748,-207
0,150,-65,1,24,646,-470
0,151,-65,1,24,400,-670
0,152,-65,1,24,122,-745
0,153,-65,1,24,-109,-750
0,154,-65,1,24,-166,-726
0,155,-65,1,24,-65,-709
0,156,-65,1,24,56,-711
0,157,-65,1,24,74,-717
0,158,-65,1,24,-73,-695
0,159,-65,1,24,-365,-600
0,160,-65,1,24,-607,-433
0,161,-65,1,24,-709,-164
0,162,-65,1,24,-572,97
0,163,-65,1,24,-197,331
0,164,-65,1,24,217,415
0,165,-65,1,24,602,344
0,166,-65,1,24,768,147
0,167,-65,1,24,769,-148
0,168,-65,1,24,645,-410
0,169,-65,1,24,417,-624
0,170,-65,1,24,153,-714
0,171,-65,1,24,-192,-673
0,172,-65,1,24,-518,-501
0,173,-65,1,24,-722,-269
0,174,-65,1,24,-784,42
0,175,-65,1,24,-689,319
0,176,-65,1,24,-480,574
0,177,-65,1,24,-318,699
0,178,-65,1,24,-265,706
0,179,-65,1,24,-347,626
0,180,-65,1,24,-477,533
0,181,-65,1,24,-496,522
0,182,-65,1,24,-332,600
0,183,-65,1,24,-39,695
0,184,-65,1,24,311,698
0,185,-65,1,24,524,552
0,186,-65,1,24,540,214
0,187,-65,1,24,354,-145
0,188,-65,1,24,-5,-464
0,189,-65,1,24,-338,-570
0,190,-65,1,24,-614,-461
0,191,-65,1,24,-737,-222
0,192,-65,1,24,-747,105
0,193,-65,1,24,-649,371
0,194,-65,1,24,-421,595
0,195,-65,1,24,-124,696
0,196,-65,1,24,256,684
0,197,-65,1,24,552,553
0,198,-65,1,24,758,298
0,199,-65,1,24,783,4
0,200,-65,1,24,676,-315
0,201,-65,1,24,542,-523
0,202,-65,1,24,486,-569
0,203,-65,1,24,527,-487
0,204,-65,1,24,601,-391
0,205,-65,1,24,626,-373
0,206,-65,1,24,530,-472
0,207,-65,1,24,290,-650
0,208,-65,1,24,18,-753
0,209,-65,1,24,-263,-692
0,210,-65,1,24,-407,-434
0,211,-65,1,24,-404,9
0,212,-65,1,24,-253,406
0,213,-65,1,24,11,699
0,214,-65,1,24,269,738
0,215,-65,1,24,516,571
0,216,-65,1,24,671,326
0,217,-65,1,24,732,6
0,218,-65,1,24,666,-275
0,219,-65,1,24,444,-546
0,220,-65,1,24,156,-704
0,221,-65,1,24,-197,-739
0,222,-65,1,24,-465,-624
0,223,-65,1,24,-661,-352
0,224,-65,1,24,-729,-59
0,225,-65,1,24,-728,195
0,226,-65,1,24,-706,251
0,227,-65,1,24,-702,137
0,228,-65,1,24,-720,-13
0,229,-65,1,24,-731,-60
0,230,-65,1,24,-682,129
0,231,-65,1,24,-572,406
0,232,-65,1,24,-363,672
0,233,-65,1,24,-124,741
0,234,-65,1,24,149,548
0,235,-65,1,24,327,188
0,236,-65,1,24,382,-281
0,237,-65,1,24,283,-607
0,238,-65,1,24,43,-772
0,239,-65,1,24,-221,-741
0,240,-65,1,24,-495,-569
0,241,-65,1,24,-659,-333
0,242,-65,1,24,-722,-8
0,243,-65,1,24,-651,302
0,244,-65,1,24,-455,614
0,245,-65,1,24,-202,785
0,246,-65,1,24,112,797
0,247,-65,1,24,374,662
0,248,-65,1,24,599,413
0,249,-65,1,24,708,219
0,250,-65,1,24,718,151
0,251,-65,1,24,668,227
0,252,-65,1,24,613,359
0,253,-65,1,24,610,384
0,254,-65,1,24,657,225
0,255,-65,1,24,692,-52
0,256,-65,1,24,638,-388
0,257,-65,1,24,457,-574
0,258,-65,1,24,123,-565
0,259,-65,1,24,-254,-308
0,260,-65,1,24,-499,52
0,261,-65,1,24,-559,433
0,262,-65,1,24,-437,665
0,263,-65,1,24,-161,770
0,264,-65,1,24,117,755
0,265,-65,1,24,400,626
0,266,-65,1,24,584,414
0,267,-65,1,24,680,80
0,268,-65,1,24,648,-252
0,269,-65,1,24,482,-574
0,270,-65,1,24,242,-740
0,271,-65,1,24,-80,-762
0,272,-65,1,24,-347,-663
0,273,-65,1,24,-543,-526
0,274,-65,1,24,-572,-475
0,275,-65,1,24,-476,-525
0,276,-65,1,24,-365,-619
0,277,-65,1,24,-350,-646
0,278,-65,1,24,-456,-547
0,279,-65,1,24,-643,-296
0,280,-65,1,24,-753,-20
0,281,-65,1,24,-683,254
0,282,-65,1,24,-424,390
0,283,-65,1,24,17,367
0,284,-65,1,24,400,201
0,285,-65,1,24,664,-80
0,286,-65,1,24,683,-338
0,287,-65,1,24,507,-576
0,288,-65,1,24,221,-722
0,289,-65,1,24,-56,-749
0,290,-65,1,24,-354,-652
0,291,-65,1,24,-577,-438
0,292,-65,1,24,-730,-101
0,293,-65,1,24,-748,214
0,294,-65,1,24,-601,504
0,295,-65,1,24,-353,667
0,296,-65,1,24,-29,733
0,297,-65,1,24,184,726
0,298,-65,1,24,238,700
0,299,-65,1,24,142,696
0,300,-65,1,24,2,713
0,301,-65,1,24,-15,719
0,302,-65,1,24,147,673
0,303,-65,1,24,404,561
0,304,-65,1,24,665,353
0,305,-65,1,24,731,110
0,306,-65,1,24,556,-167
0,307,-65,1,24,189,-343
0,308,-65,1,24,-287,-379
0,309,-65,1,24,-615,-267
0,310,-65,1,24,-766,-13
0,311,-65,1,24,-726,255
0,312,-65,1,24,-542,523
0,313,-65,1,24,-306,677
0,314,-65,1,24,14,716
0,315,-65,1,24,315,624
0,316,-65,1,24,611,407
0,317,-65,1,24,782,118
0,318,-65,1,24,777,-156
0,319,-65,1,24,608,-438
0,320,-65,1,24,371,-630
0,321,-65,1,24,146,-746
0,322,-65,1,24,94,-745
0,323,-65,1,24,206,-677
0,324,-65,1,24,340,-622
0,325,-65,1,24,367,-620
0,326,-65,1,24,226,-660
0,327,-65,1,24,-83,-689
0,328,-65,1,24,-374,-632
0,329,-65,1,24,-575,-421
0,330,-65,1,24,-557,-127
0,331,-65,1,24,-307,229
0,332,-65,1,24,39,458
0,333,-65,1,24,423,525
0,334,-65,1,24,658,402
0,335,-65,1,24,771,130
0,336,-65,1,24,745,-155
0,337,-65,1,24,604,-446
0,338,-65,1,24,377,-632
0,339,-65,1,24,36,-721
0,340,-65,1,24,-286,-688
0,341,-65,1,24,-583,-516
0,342,-65,1,24,-736,-275
0,343,-65,1,24,-749,52
0,344,-65,1,24,-644,356
0,345,-65,1,24,-534,528
0,346,-65,1,24,-482,556
0,347,-65,1,24,-528,460
0,348,-65,1,24,-623,332
0,349,-65,1,24,-650,314
0,350,-65,1,24,-545,439
0,351,-65,1,24,-317,622
0,352,-65,1,24,13,760
0,353,-65,1,24,281,697
0,354,-65,1,24,426,379
0,355,-65,1,24,383,-25
0,356,-65,1,24,152,-445
0,357,-65,1,24,-128,-655
0,358,-65,1,24,-425,-634
0,359,-65,1,24,-619,-441
0,360,-65,1,24,-727,-122
0,361,-65,1,24,-709,170
0,362,-65,1,24,-549,456
0,363,-65,1,24,-292,638
0,364,-65,1,24,66,728
0,365,-65,1,24,371,684
0,366,-65,1,24,623,496
0,367,-65,1,24,730,227
0,368,-65,1,24,740,-104
0,369,-65,1,24,694,-316
0,370,-65,1,24,657,-353
0,371,-65,1,24,665,-239
0,372,-65,1,24,704,-77
0,373,-65,1,24,721,-52
0,374,-65,1,24,673,-194
0,375,-65,1,24,527,-473
0,376,-65,1,24,323,-682
0,377,-65,1,24,46,-725
0,378,-65,1,24,-184,-532
0,379,-65,1,24,-349,-116
0,380,-65,1,24,-356,301
0,381,-65,1,24,-210,657
0,382,-65,1,24,23,777
0,383,-65,1,24,318,717
0,384,-65,1,24,547,534
0,385,-65,1,24,701,250
0,386,-65,1,24,722,-43
0,387,-65,1,24,598,-377
0,388,-65,1,24,384,-625
0,389,-65,1,24,76,-779
0,390,-65,1,24,-202,-767
0,391,-65,1,24,-471,-588
0,392,-65,1,24,-643,-350
0,393,-65,1,24,-741,-123
0,394,-65,1,24,-746,-60
0,395,-65,1,24,-699,-154
0,396,-65,1,24,-653,-286
0,397,-65,1,24,-639,-331
0,398,-65,1,24,-666,-188
0,399,-65,1,24,-688,124
0,400,-65,1,24,-632,425
0,401,-65,1,24,-421,612
0,402,-65,1,24,-89,551
0,403,-65,1,24,225,304
0,404,-65,1,24,468,-93
0,405,-65,1,24,513,-425
0,406,-65,1,24,358,-671
0,407,-65,1,24,103,-756
0,408,-65,1,24,-218,-720
0,409,-65,1,24,-466,-586
0,410,-65,1,24,-656,-329
0,411,-65,1,24,-715,-22
0,412,-65,1,24,-650,344
0,413,-65,1,24,-472,609
0,414,-65,1,24,-176,769
0,415,-65,1,24,129,753
0,416,-65,1,24,430,614
0,417,-65,1,24,595,483
0,418,-65,1,24,614,431
0,419,-65,1,24,528,483
0,420,-65,1,24,418,580
0,421,-65,1,24,402,602
0,422,-65,1,24,512,476
0,423,-65,1,24,656,243
0,424,-65,1,24,742,-77
0,425,-65,1,24,652,-315
0,426,-65,1,24,340,-437
0,427,-65,1,24,-55,-369
0,428,-65,1,24,-468,-136
0,429,-65,1,24,-668,139
0,430,-65,1,24,-655,429
0,431,-65,1,24,-420,636
0,432,-65,1,24,-137,738
0,433,-65,1,24,184,724
0,434,-65,1,24,435,586
0,435,-65,1,24,639,293
0,436,-65,1,24,721,-32
0,437,-65,1,24,668,-384
0,438,-65,1,24,492,-610
0,439,-65,1,24,184,-730
0,440,-65,1,24,-110,-730
0,441,-65,1,24,-345,-677
0,442,-65,1,24,-386,-646
0,443,-65,1,24,-270,-662
0,444,-65,1,24,-132,-705
0,445,-65,1,24,-89,-726
0,446,-65,1,24,-228,-671
0,447,-65,1,24,-501,-511
0,448,-65,1,24,-709,-302
0,449,-65,1,24,-743,-29
0,450,-65,1,24,-551,196
0,451,-65,1,24,-127,350
0,452,-65,1,24,295,356
0,453,-65,1,24,649,208
0,454,-65,1,24,772,-20
0,455,-65,1,24,699,-315
0,456,-65,1,24,504,-544
0,457,-65,1,24,206,-701
0,458,-65,1,24,-95,-707
0,459,-65,1,24,-427,-560
0,460,-65,1,24,-688,-280
0,461,-65,1,24,-794,21
0,462,-65,1,24,-724,337
0,463,-65,1,24,-524,556
0,464,-65,1,24,-224,702
0,465,-65,1,24,-13,753
0,466,-65,1,24,47,742
0,467,-65,1,24,-48,711
0,468,-65,1,24,-193,689
0,469,-65,1,24,-216,690
0,470,-65,1,24,-43,694
0,471,-65,1,24,237,658
0,472,-65,1,24,546,523
0,473,-65,1,24,676,303
0,474,-65,1,24,578,-15
0,475,-65,1,24,275,-285
0,476,-65,1,24,-171,-471
0,477,-65,1,24,-521,-465
0,478,-65,1,24,-737,-276
0,479,-65,1,24,-779,-21
0,480,-65,1,24,-690,286
0,481,-65,1,24,-521,516
0,482,-65,1,24,-236,671
0,483,-65,1,24,76,692
0,484,-65,1,24,431,575
0,485,-65,1,24,672,367
0,486,-65,1,24,789,61
0,487,-65,1,24,736,-228
0,488,-65,1,24,561,-505
